id,name,city,state,zip,holeCount,rating,yearsEstablished,page
/course-directory/course/valley-community-disc-golf-course,Valley Community Disc Golf Course,Hazelton,Idaho,83335,9,,,80
/course-directory/course/royalston-fish-game,Royalston Fish and Game,South Royalston,Massachusetts,01368,18,,,80
/course-directory/course/north-strabane-township-park,North Strabane Township Park,Canonsburg,Pennsylvania,15317,18,4,,80
/course-directory/course/lost-island-waterpark-koa,Lost Island Waterpark KOA,Waterloo,Iowa,50701,9,,,80
/course-directory/course/osceola-disc-golf-course,Osceola Disc Golf Course,Osceola,Iowa,50213,18,3,,80
/course-directory/course/logan-park,Kent Robertson Park,Huntsville,Alabama,35802,6,,,80
/course-directory/course/duck-creek,Duck Creek,Wright,Kansas,67882,18,,,80
/course-directory/course/lovewell-lake-park,Lovewell Lake Park,Webber,Kansas,66970,9,,,80
/course-directory/course/victory-park-dgc,Victory Park Disc Golf Course,Anita,Iowa,50020,9,,,80
/course-directory/course/holiday-lakes-dgc,Holiday Lakes Disc Golf Course,Willard,Ohio,44890,9,,,80
/course-directory/course/elm-creek-park,Elm Creek Park,Elm Creek,Nebraska,68836,9,,,80
/course-directory/course/traeger-elementary-school,Traeger Elementary School,Oshkosh,Wisconsin,54904,9,,,80
/course-directory/course/heritage-park-dgc-0,Heritage Park Disc Golf Course,Perry,Florida,32347,9,,,80
/course-directory/course/klingvall-park-dgc,Klingvall Park Disc Golf Course,Byron,Minnesota,55920,7,,,80
/course-directory/course/chadron-state-parm,Chadron State Park,Chadron,Nebraska,69337,18,,,80
/course-directory/course/de-soto-wildcat-dgc,De Soto Wildcat Disc Golf Course,De Soto,Kansas,66018,9,,,80
/course-directory/course/uaf-gold,UAF Gold Disc Golf Course,Fairbanks,Alaska,99709,18,4,,80
/course-directory/course/james-lawless-park,James Lawless Park,Richland,Washington,99352,18,,,80
/course-directory/course/greenbrier-woods,Greenbrier Woods,Madison,Alabama,35756,9,,,80
/course-directory/course/wintersun,Wintersun - Long,Fairview,North Carolina,28730,18,,,80
/course-directory/course/cave-springs-disc-golf-course-0,Cave Springs Disc Golf Course,Falls of Rough,Kentucky,40119,9,,,80
/course-directory/course/crawford-state-park,Crawford State Park,Farlington,Kansas,66734,9,,,80
/course-directory/course/jury-farms,Jury Farms,Moore,Oklahoma,73160,18,,,80
/course-directory/course/niacc-disc-golf-course,NIACC Disc Golf Course,Mason City,Iowa,50401,9,,,80
/course-directory/course/twin-brook-park,Twin Brook Recreation Facility,Cumberland,Maine,04021,9,,,80
/course-directory/course/discovery-hill-killer-course,The Killer Course at Discovery Hill,Salmon,Idaho,83467,18,,,80
/course-directory/course/wintersun-short,Wintersun - Short,Fairview,North Carolina,28730,11,,,80
/course-directory/course/bar-nunn-disc-golf-course,Bar Nunn Disc Golf Course,Bar Nunn,Wyoming,82601,9,,,80
/course-directory/course/oster-park-disc-golf-course,Oster Park Disc Golf Course,Ellendale,North Dakota,58436,9,,,80
/course-directory/course/perkerson-park,Perkerson Park,Atlanta,Georgia,30310,18,3.8,,80
/course-directory/course/sawmills-veterans-park,Sawmills Veterans Park - Original 18,Sawmills,North Carolina,28630,18,4,,80
/course-directory/course/avoca-disc-golf-course,Avoca Disc Golf Course,Avoca,Arkansas,72711,9,,,80
/course-directory/course/woodland-creek-community-park,Woodland Creek Community Park,Lacey,Washington,98503,9,3.7,,80
/course-directory/course/crooked-creek-crossing,Crooked Creek Crossing,Stallings,North Carolina,28104,18,3,,80
/course-directory/course/ridge,The Ridge,Springville,Alabama,35146,18,,,80
/course-directory/course/heritage-park-and-gardens-disc-golf-course,Heritage Park and Gardens Disc Golf Course,Live Oak,Florida,32064,9,,,80
/course-directory/course/village-greens-park,Village Greens Park,Greenwood Village,Colorado,80111,18,3.5,,80
/course-directory/course/disc-side-heaven-rec-course,Disc Side of Heaven - Rec Course,Jonesboro,Arkansas,72404,18,,,80
/course-directory/course/disc-side-heaven-champ-course,Disc Side of Heaven - Champ Course,Jonesboro,Arkansas,72404,18,,,80
/course-directory/course/gordon-lake-disc-golf-course,Gordon Lake Disc Golf Course,Iowa Park,Texas,76367,16,4.3,,80
/course-directory/course/watson-lake,Watson Lake,Prescott,Arizona,86301,18,4,,80
/course-directory/course/ash-creek-park,Ash Creek Park,Azle,Texas,76020,18,4,,80
/course-directory/course/alton-baker-disc-golf-course,Oregon Disc Golf Course at Alton Baker Park,Eugene,Oregon,97401,18,4,,80
/course-directory/course/lake-mcmurtry-south,Lake McMurtry South,Stillwater,Oklahoma,74076,18,5,,80
/course-directory/course/foss-state-park,Foss State Park,Foss,Oklahoma,73647,9,2,,80
/course-directory/course/tenkiller-state-park,Tenkiller State Park,Vian,Oklahoma,74962,9,,,81
/course-directory/course/hillbilly-disc-golf-course,Hillbilly Disc Golf Course,Laurie,Missouri,65037,9,,,81
/course-directory/course/milan-disc-golf-course,Milan Disc Golf Course,Milan,Tennessee,38358,18,5,,81
/course-directory/course/palmore-park,Palmore Park,Tuscaloosa,Alabama,35401,18,,,81
/course-directory/course/covered-bridge-park-0,Covered Bridge Park ,Zumbrota,Minnesota,55992,9,,,81
/course-directory/course/disc-golf-course-primland,The Disc Golf Course at Primland,Meadows of Dan,Virginia,24120,18,,,81
/course-directory/course/orchard-hill-disc-golf-umass-amherst,Orchard Hill Disc Golf at UMass Amherst,Amherst,Massachusetts,01002,9,,,81
/course-directory/course/woodlands-disc-golf-course-gates-town-park,The Woodlands Disc Golf Course at Gates Town Park,Rochester,New York,14606,9,2,,81
/course-directory/course/plantation-heritage-disc-golf-course,Plantation Heritage Disc Golf Course,Plantation,Florida,33317,18,4,,81
/course-directory/course/comanche-trail-west,Comanche Trail West Disc Golf,Odessa,Texas,79763,18,,,81
/course-directory/course/lake-amador-south,Lake Amador South ,Ione,California,95640,18,5,,81
/course-directory/course/community-park-0,Community Park,Palos Heights,Illinois,60463,9,3.3,,81
/course-directory/course/jenkins-park-disc-golf,Jenkins Park Disc Golf ,Baytown,Texas,77520,18,,,81
/course-directory/course/st-mathias-disc-golf,St. Mathias Disc Golf,Fort Ripley,Minnesota,56449,9,5,,81
/course-directory/course/centennial-park-7,Centennial Park,Canadian,Texas,79104,9,3.5,,81
/course-directory/course/powder-mill-disc-golf,Powder Mill Disc Golf,Marquette,Michigan,49855,18,,,81
/course-directory/course/wiley-park-disc-golf-course,Wiley Park Disc Golf Course,Galva,Illinois,61434,9,1,,81
/course-directory/course/jackson-crossing-disc-golf,Jackson Crossing Disc Golf,Watertown,South Dakota,57201,9,,,81
/course-directory/course/springvale-disc-golf-course,Springvale Disc Golf Course,Cambridge,Minnesota,55008,12,4.5,,81
/course-directory/course/rose-park-0,Rose Park,McLouth,Kansas,66054,18,,,81
/course-directory/course/hazel-landing-park,Hazel Landing Park,Carmel,Indiana,46280,18,4.5,,81
/course-directory/course/oologah-lake-disc-golf-course,Oologah Lake Disc Golf Course,Oologah,Oklahoma,74053,9,,,81
/course-directory/course/virginia-highlands-community-college,Virginia Highlands Community College,Abingdon,Virginia,24212,9,,,81
/course-directory/course/wildwood-disc-golf,WildWood Disc Golf,Readfield,Maine,04355,18,2,,81
/course-directory/course/snowbowl,Snowbowl,Fife Lake,Michigan,49633,12,,,81
/course-directory/course/moose-mountain-recreation,Moose Mountain Recreation,Brookfield,New Hampshire,03872,18,4,,81
/course-directory/course/bingo-park,Bingo Park,Randall,Minnesota,56475,9,,,81
/course-directory/course/isanti-middle-school-disc-golf-links,Isanti Middle School Disc Golf Links,Isanti,Minnesota,55008,9,3,,81
/course-directory/course/lake-elk-city-disc-golf,Lake Elk City Disc Golf,Elk City,Oklahoma,73644,18,3,,81
/course-directory/course/lynx-disc-golf-course,The Lynx Disc Golf Course,Ellisville,Mississippi,39437,18,,,81
/course-directory/course/sheridan-college-disc-golf-course,Sheridan College Disc Golf Course,Sheridan,Wyoming,82801,18,5,,81
/course-directory/course/springwood-players-course,Springwood Players' Course,Burlington,North Carolina,27215,19,3.5,,81
/course-directory/course/fort-massac-disc-golf-course,Fort Massac State Park Disc Golf Course,Metropolis,Illinois,62960,18,,,81
/course-directory/course/skare-park,Skare Park,Rochelle,Illinois,61068,9,4,,81
/course-directory/course/devils-grove-dg-demon,Devil's Grove Disc Golf - The Demon,Lewiston,Maine,04240,18,,,81
/course-directory/course/otter-brook-disc-golf-course,Otter Brook Disc Golf Course,Keene,New Hampshire,03431,18,4,,81
/course-directory/course/beacon-hill-park-disc-golf,Beacon Hill Park Disc Golf,Highland,Utah,84003,18,3,,81
/course-directory/course/eagle-creek-disc-golf,Eagle Creek Disc Golf,Enderlin,North Dakota,58027,9,,,81
/course-directory/course/brown-singleton-park,Brown-Singleton Park,Waxahachie,Texas,75165,18,3,,81
/course-directory/course/rainy-river-disc-golf,Rainy River Disc Golf,International Falls,Minnesota,56649,12,,,81
/course-directory/course/west-bank-park-disc-golf-course,West Bank Park Disc Golf Course,Great Falls,Montana,59404,9,,,81
/course-directory/course/cica-disc-golf-course,CICA Disc Golf Course,Mooresville,Indiana,46158,9,,,81
/course-directory/course/arena-disc-golf-course,Arena Disc Golf Course,Arena,Wisconsin,53503,9,,,81
/course-directory/course/anna-page-park-south,Anna Page Park - South,Rockford,Illinois,61101,18,3.5,,81
/course-directory/course/walden-park-disc-golf-course,Walden Park Disc Golf Course,Walnut Creek,California,94597,9,3,,81
/course-directory/course/cloman-park,Cloman Park,Pagosa Springs,Colorado,81147,18,4,,81
/course-directory/course/mccall-disc-golf-course-nature-area,McCall Disc Golf Course & Nature Area,McCall,Idaho,83638,9,3.3,,81
/course-directory/course/eagle-creek-clayton,Eagle Creek at Clayton,Clayton,Georgia,30525,9,3,,81
/course-directory/course/buxton-woods,Buxton Woods,Buxton,Oregon,97109,18,5,,81
/course-directory/course/treetops-resort,Treetops Resort,Gaylord,Michigan,49735,9,,,81
/course-directory/course/seventh-mountain-resort,Seventh Mountain Resort,Bend,Oregon,97702,9,3,,82
/course-directory/course/chester-state-park,Chester State Park,Chester,South Carolina,29706,27,,,82
/course-directory/course/fayette-city-park,Fayette City Park,Fayette,Missouri,65248,9,5,,82
/course-directory/course/lake-leota-park,Lake Leota Park,Evansville,Wisconsin,53536,18,,,82
/course-directory/course/south-hills-park,South Hills Park,Lebanon,Pennsylvania,17042,18,,,82
/course-directory/course/uvalde-memorial-park-disc-golf-course,Uvalde Memorial Park Disc Golf Course,Uvalde,Texas,78801,18,4,,82
/course-directory/course/blissfest-disc-golf-course,Blissfest Disc Golf Course,Harbor Springs,Michigan,49740,19,4,,82
/course-directory/course/cahoon-creek-disc-golf,Cahoon Creek Disc Golf,Bay Village,Ohio,43140,9,4,,82
/course-directory/course/okoboji-gold-disc-golf-course-kenue-park,Okoboji Gold Disc Golf Course at Kenue Park,Okoboji,Iowa,51355,18,,,82
/course-directory/course/trollskogen-park-disc-golf-course,Trollskogen Park Disc Golf Course,Spring Grove,Minnesota,55974,9,,,82
/course-directory/course/worthington-flats,Worthington Flats Disc Golf Course,Worthington,Ohio,43085,9,,,82
/course-directory/course/pioneer-trail,Pioneer Trail Park,Gladstone,Michigan,49837,24,5,,82
/course-directory/course/china-peak-disc-golf,China Peak Disc Golf,Lakeshore,California,93634,27,5,,82
/course-directory/course/garvin-park-lyon-county,Garvin Park - Lyon County,Garvin,Minnesota,56132,18,,,82
/course-directory/course/memory-clear-lake,The Memory at Clear Lake State Park,Atlanta,Michigan,49709,9,,,82
/course-directory/course/capital-springs,Capital Springs,Madison,Wisconsin,53711,18,5,,82
/course-directory/course/bear-compass-lake,The Bear at Compass Lake,Alford,Florida,32420,18,,,82
/course-directory/course/cedars-disc-golf-course-smith-park,The Cedars Disc Golf Course at Smith Park,Fate,Texas,75087,18,5,,82
/course-directory/course/beech-mountain-resort-disc-golf,Beech Mountain Resort DGC,Beech Mountain,North Carolina,28604,18,,,82
